CODE,ค่าแรง,ตำแหน่ง/แผนก,เพศ,Year,Quarter,Month,Day,วุฒิ,ศาสนา,สัญชาติ,อายุ,อายุงาน(เดือน),อายุงาน(ปี),อายุงาน(วัน),วันที่ลาออก,เหตุผล,สถานะ (groups)
H081,,milling,ช,2564,Qtr 3,July,1,ป.ตรี,พุทธ,ไทย,24,4,0,26,11/27/2564,ได้งานใหม่,ลาออก
H082,,milling,ช,2564,Qtr 3,July,1,ป.ตรี,พุทธ,ไทย,24,4,0,26,11/27/2564,ได้งานใหม่,ลาออก
H083,,Manual,ช,2564,Qtr 3,July,12,ป.6,พุทธ,พม่า,49,4,1,14,0,ทำงาน,ทำงาน
H084,,milling,ช,2564,Qtr 3,July,12,ป.6,พุทธ,พม่า,27,4,1,14,0,ทำงาน,ทำงาน
H085,,milling,ช,2564,Qtr 3,September,1,ม.3,พุทธ,ไทย,28,2,1,25,0,ทำงาน,ทำงาน
H086,,milling,ช,2564,Qtr 4,October,6,ป.6,พุทธ,ไทย,20,1,1,21,0,ทำงาน,ทำงาน
H087,,milling,ช,2565,Qtr 1,January,4,ม.3,พุทธ,ไทย,31,10,0,22,0,ทำงาน,ทำงาน
H088,,milling,ช,2565,Qtr 2,May,17,ป.6,พุทธ,ไทย,17,4,0,8,9/25/2565,กฏระเบียบ,ลาออก
H089,,milling,ช,2565,Qtr 2,June,7,ปวส.,พุทธ,ไทย,27,5,0,19,0,ทำงาน,ทำงาน
H090,,Manual,ช,2565,Qtr 3,July,12,ปวช.,พุทธ,ไทย,43,4,0,14,0,ทำงาน,ทำงาน
H091,,milling,ช,2565,Qtr 3,September,26,ป.6,พุทธ,ไทย,17,2,0,0,0,ทำงาน,ทำงาน
H092,,milling,ช,2565,Qtr 4,October,3,ปวช.,พุทธ,ไทย,25,1,0,23,0,ทำงาน,ทำงาน
H093,,milling,ช,2565,Qtr 4,October,3,ป.6,พุทธ,ไทย,26,1,0,23,0,ทำงาน,ทำงาน
